Video ID,Title,Channel,Channel ID,Subscribers,Views,Likes,Comments,Thumbnail
tj52UFkkZ8o,Meditación Guiada para Dormir ✨ AUTOESTIMA Y ABUNDANCIA,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,399470,5784,151,https://i.ytimg.com/vi/tj52UFkkZ8o/default.jpg
ZWZQrEEsxSE,Meditación y gratitud: ¡Todo lo que necesitas! | Ismael Cala,Ismael Cala,UCH3aBRsek6TLndDYVwKltBg,324000,79328,3138,324,https://i.ytimg.com/vi/ZWZQrEEsxSE/default.jpg
xVmgWll2yds,MEDITACIÓN➡ PARA RESETEAR TU CUERPO Y MENTE: CONSCIENCIA CORPORAL con Música~Mindfulness,Mindful Science,UCvZKEunQgNxg6iJh62YGcdQ,1420000,252177,8155,308,https://i.ytimg.com/vi/xVmgWll2yds/default.jpg
EKxLSBHMP7s,Meditación Guiada para Eliminar Pensamientos Negativos - Mente Positiva y Abundancia (10 min),Anabel Otero,UCJQoiWCKVc5EivU9h0p80oA,1080000,319613,15719,1049,https://i.ytimg.com/vi/EKxLSBHMP7s/default.jpg
u4zMhWVpUaE,Meditación para Dormir 🌺🌺🌺 LIBERACIÓN ABSOLUTA!!,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,838128,13118,222,https://i.ytimg.com/vi/u4zMhWVpUaE/default.jpg
taQXDJrOUZI,ATENCIÓN PLENA ~MEDITACIÓN para COMENZAR EL DÍA~Motivación para la mañana~Mindfulness,Mindful Science,UCvZKEunQgNxg6iJh62YGcdQ,1420000,507521,24451,771,https://i.ytimg.com/vi/taQXDJrOUZI/default.jpg
IG7R2AxW6Tk,Meditación Poderosa Manifestar 💯 Éxito y Prosperidad ✨ #meditación  15 minutos @GabrielaLitschi,Gabriela Litschi,UCJ80RT5ob5mSJT8KRwqGW4g,399000,297481,8490,398,https://i.ytimg.com/vi/IG7R2AxW6Tk/default.jpg
lAXdkk6O2Nc,Meditación guiada para controlar tu ANSIEDAD rápidamente | 14 minutos,Jordi Wu,UC4VXblTy_IYCpBKUqpjB-Ug,1820000,376136,10727,453,https://i.ytimg.com/vi/lAXdkk6O2Nc/default.jpg
1MDeUZp3FfI,Meditación Guiada Para Dormir Profundamente | Duerme Rápido Con Esta Relajación Para El Insomnio,"Carvo | Pilates, Yoga & Meditación",UCY3nklwdVFQTMQbjjK_JrtA,138000,1101358,12990,176,https://i.ytimg.com/vi/1MDeUZp3FfI/default.jpg
4vBTtpFIJyc,🎧BUEN DESCANSO Meditación PARA TERMINAR EL DIA: Motivación y Atención Plena~ Mindful Science,Mindful Science,UCvZKEunQgNxg6iJh62YGcdQ,1420000,78809,3366,103,https://i.ytimg.com/vi/4vBTtpFIJyc/default.jpg
