Video ID,Title,Channel,Channel ID,Subscribers,Views,Likes,Comments,Thumbnail
K_nUvM-A5Yg,MEDITACIÓN guiada para contactar con TU GUÍA INTERIOR,Gabriela Litschi,UCJ80RT5ob5mSJT8KRwqGW4g,399000,1040205,19393,751,https://i.ytimg.com/vi/K_nUvM-A5Yg/default.jpg
iqA9twRH5c0,MEDITACIÓN para Soltar el Pasado,CuriosaMente,UCX16cLWl6dCjlZMgUBxgGkA,3950000,127950,5928,232,https://i.ytimg.com/vi/iqA9twRH5c0/default.jpg
oCGS6iBIfL8,🎧MINDFULNESS PARA COMENZAR EL DÍA ~ Meditación Guiada ~ Emociones Positivas ~ Mindful Science,Mindful Science,UCvZKEunQgNxg6iJh62YGcdQ,1420000,537869,35470,1598,https://i.ytimg.com/vi/oCGS6iBIfL8/default.jpg
EKfvmYlEuus,Meditación MATINAL ☀️ meditación guiada para EMPEZAR el DÍA,Gabriela Litschi,UCJ80RT5ob5mSJT8KRwqGW4g,399000,1282521,37057,897,https://i.ytimg.com/vi/EKfvmYlEuus/default.jpg
NP7X6ZwQImQ,La montaña. Meditación guiada de Elsa Punset #mindfulness #meditacionguiada,Elsa Punset,UCBFxE8PWFM58J57sJXaFZJQ,260000,35248,1050,13,https://i.ytimg.com/vi/NP7X6ZwQImQ/default.jpg
sr8GSG7sTPY,¿Cómo empezar a meditar? 6 consejos,Xuan Lan Yoga,UCKQgiVPqEPU0tImAjFG5lNA,2020000,144784,6738,159,https://i.ytimg.com/vi/sr8GSG7sTPY/default.jpg
PyPmoLxDF84,🧘‍♂🌞🧘‍♀ Meditación guiada MINDFULNESS de 15 minutos  [⭐2022⭐] - para COMENZAR EL DÍA,Psicología en Serio con Guillermo Orozco,UCV3AJtO6IMQd1cPtOha2BGA,279000,323894,6082,205,https://i.ytimg.com/vi/PyPmoLxDF84/default.jpg
KxRpK9ZGq4Y,Meditación corta para SOLTAR LA TENSIÓN 🦋 | Meditar en 7 minutos con Gabriela Litschi,Gabriela Litschi,UCJ80RT5ob5mSJT8KRwqGW4g,399000,380537,8446,262,https://i.ytimg.com/vi/KxRpK9ZGq4Y/default.jpg
xiJPWGVHRS8,La meditación no es como creemos que es 🙄,Yoga con Marina Buedo,UCxsUkA8y1Rq2OapzUtkC87A,318000,63613,3419,65,https://i.ytimg.com/vi/xiJPWGVHRS8/default.jpg
yqwo56lEz6o,CONSIGUE PAZ MENTAL y ¡DUERME! | Meditación para Bajar el Cortisol,Medita por el mundo,UCkImJVONIpthOWxmxhF_gyA,424000,1499264,13405,325,https://i.ytimg.com/vi/yqwo56lEz6o/default.jpg
