Video ID,Title,Channel,Channel ID,Subscribers,Views,Likes,Comments,Thumbnail
aBsnQjJ2_Nk,15 minutos mágicos para eliminar ANSIEDAD y EMOCIONES NEGATIVAS - Meditación Guiada,Anabel Otero,UCJQoiWCKVc5EivU9h0p80oA,1080000,1373585,47944,887,https://i.ytimg.com/vi/aBsnQjJ2_Nk/default.jpg
xBHf42p_AM4,Meditación Mindfulness | Mario Alonso Puig,Mario Alonso Puig - Oficial,UCI0pkMo-pDjVurZWJQu3bLg,749000,650417,17951,368,https://i.ytimg.com/vi/xBHf42p_AM4/default.jpg
Bu0vbWII_jM,Paz y Alegría para un Nuevo Día - Meditación de la Mañana (10 min),Anabel Otero,UCJQoiWCKVc5EivU9h0p80oA,1080000,660730,44819,2295,https://i.ytimg.com/vi/Bu0vbWII_jM/default.jpg
zO7z8OAPzGE,Meditación Guiada Armonía Interior y Regulación Emocional 💖 @GabrielaLitschi,Gabriela Litschi,UCJ80RT5ob5mSJT8KRwqGW4g,399000,260076,7333,260,https://i.ytimg.com/vi/zO7z8OAPzGE/default.jpg
r65rV5GGWyo,Meditación guiada Restauradora. Meditación Energía Curativa ✨ @GabrielaLitschi,Gabriela Litschi,UCJ80RT5ob5mSJT8KRwqGW4g,399000,324199,9627,419,https://i.ytimg.com/vi/r65rV5GGWyo/default.jpg
NAf6G6kGlkM,Meditación para Dormir CALMA MENTAL TOTAL 💜💜💜,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,478634,7135,114,https://i.ytimg.com/vi/NAf6G6kGlkM/default.jpg
RDiqBWUjDeo,Meditación Guiada para soltar y dejar ir 💜 Respirar y fluir con la vida@GabrielaLitschi,Gabriela Litschi,UCJ80RT5ob5mSJT8KRwqGW4g,399000,276964,7334,710,https://i.ytimg.com/vi/RDiqBWUjDeo/default.jpg
HxyfYc31Yq8,Conecta con el Verdadero Amor - Yoga Nidra (30 min) Meditación Guiada,Anabel Otero,UCJQoiWCKVc5EivU9h0p80oA,1080000,141835,4171,293,https://i.ytimg.com/vi/HxyfYc31Yq8/default.jpg
HWWuGMcxG-w,Meditación guiada para Renovar tu Energía. Libera la tensión 15 minutos @GabrielaLitschi,Gabriela Litschi,UCJ80RT5ob5mSJT8KRwqGW4g,399000,223148,7821,688,https://i.ytimg.com/vi/HWWuGMcxG-w/default.jpg
HIuQ1LfLqvU,Meditación para Dormir 🌺  RELAJACIÓN & AUTO-SANACIÓN con Cromoterapia,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,576934,7911,168,https://i.ytimg.com/vi/HIuQ1LfLqvU/default.jpg
