Video ID,Title,Channel,Channel ID,Subscribers,Views,Likes,Comments,Thumbnail
FH3GaVmpRF0,Lo Que La Meditación Le Hace a Tu Cerebro,DR LA ROSA,UCqA4L7zgzJFS01F2km1yiDw,6040000,730173,76747,426,https://i.ytimg.com/vi/FH3GaVmpRF0/default.jpg
GT8qj7IhsJA,Mejora Tu Cerebro Con Meditación,DR LA ROSA,UCqA4L7zgzJFS01F2km1yiDw,6040000,354977,24967,510,https://i.ytimg.com/vi/GT8qj7IhsJA/default.jpg
pDigD65kLpE,Meditación Guiada para CALMAR LA MENTE en momentos difíciles- Reduce ESTRÉS & ANSIEDAD en 10 minutos,Anabel Otero,UCJQoiWCKVc5EivU9h0p80oA,1080000,754797,27822,903,https://i.ytimg.com/vi/pDigD65kLpE/default.jpg
PXX_XdmOh98,Beneficios de la meditación,El Claustro,UCnVz8SR0b1yr-7dzR8Kf5gQ,4880,2660,159,2,https://i.ytimg.com/vi/PXX_XdmOh98/default.jpg
E4atKFPPSRE,La Montaña ~ Comienza el Día en Consciencia Plena/Mindfulness~Meditación Guiada~ Nayla Funes,Mindful Science,UCvZKEunQgNxg6iJh62YGcdQ,1420000,208924,13870,927,https://i.ytimg.com/vi/E4atKFPPSRE/default.jpg
srCK2MKQpVw,¿Qué es el perdón? #éxitos #perdón #meditación #meditar #ayudar #salud #altorendimientopersonal,Miguel Camarena Salud,UCkU1UYWL9eRJBNdM1-u_nFA,178000,1674,159,3,https://i.ytimg.com/vi/srCK2MKQpVw/default.jpg
I4WfIB3qwJ8,Cómo ser más feliz. #altorendimientopersonal #meditación #salud #meditar #españa #meditacionguiada,Miguel Camarena Salud,UCkU1UYWL9eRJBNdM1-u_nFA,178000,2162,139,3,https://i.ytimg.com/vi/I4WfIB3qwJ8/default.jpg
-zjfNM0fnPk,Hábitos poderosos. #altorendimientopersonal #meditación #hábitos #meditar #meditacionguiada #paz,Miguel Camarena Salud,UCkU1UYWL9eRJBNdM1-u_nFA,178000,1792,105,4,https://i.ytimg.com/vi/-zjfNM0fnPk/default.jpg
rDqTrV0XhTo,Inteligencia emocional. #meditación #salud #altorendimientopersonal #españa #meditacionguiada #paz,Miguel Camarena Salud,UCkU1UYWL9eRJBNdM1-u_nFA,178000,949,67,19,https://i.ytimg.com/vi/rDqTrV0XhTo/default.jpg
mUbx1sny678,Liberar el miedo y la angustia en 20 minutos: Meditación guiada con Gabriela Litschi,Gabriela Litschi,UCJ80RT5ob5mSJT8KRwqGW4g,399000,1376612,29536,941,https://i.ytimg.com/vi/mUbx1sny678/default.jpg
