Video ID,Title,Channel,Channel ID,Subscribers,Views,Likes,Comments,Thumbnail
6dkngmrYNto,Qué es la MEDITACIÓN y por qué nos cuesta tanto meditar | Conversaciones con Mario Alonso Puig,Mario Alonso Puig - Oficial,UCI0pkMo-pDjVurZWJQu3bLg,749000,1322876,84213,1366,https://i.ytimg.com/vi/6dkngmrYNto/default.jpg
FdOB06fuyLE,Meditación GUIADA para soltar el ESTRÉS y la ANSIEDAD,Jordi Wu,UC4VXblTy_IYCpBKUqpjB-Ug,1820000,246966,8730,470,https://i.ytimg.com/vi/FdOB06fuyLE/default.jpg
_Fk3EVr_m7I,Meditación por la Mañana ☀️ Empezar bien el día @GabrielaLitschi,Gabriela Litschi,UCJ80RT5ob5mSJT8KRwqGW4g,399000,222109,10655,675,https://i.ytimg.com/vi/_Fk3EVr_m7I/default.jpg
3_XB0n8ykeg,🎧Crea LA MEJOR VERSIÓN DE TI: Meditación Guiada 🧘🏻‍♀️Mindful Science 💙🪬,Mindful Science,UCvZKEunQgNxg6iJh62YGcdQ,1420000,64152,3614,304,https://i.ytimg.com/vi/3_XB0n8ykeg/default.jpg
MOzWnce6Tlw,Iniciación a la Meditación | Lama Rinchen Gyaltsen - Sesión 1: Relajación en el cuerpo,Paramita,UC9uMYCMlq9sEFLHO6r0awXA,547000,783466,20690,586,https://i.ytimg.com/vi/MOzWnce6Tlw/default.jpg
wq52u41Lmjw,Meditación Guiada para SOLTAR y DEJAR IR: Ansiedad y Estrés,Jordi Wu,UC4VXblTy_IYCpBKUqpjB-Ug,1820000,104163,4349,294,https://i.ytimg.com/vi/wq52u41Lmjw/default.jpg
_BtGXEfUxRA,Meditación para una pausa de estudio: como concentrarse para estudiar | Psi Mammoliti|,PsiMammoliti,UCco8rujqTKTOn-zBSuZAbFw,318000,29430,1604,75,https://i.ytimg.com/vi/_BtGXEfUxRA/default.jpg
aVuPY-pBF7E,"MEDITACIÓN GUIADA PARA DORMIR Y RELAJARTE PROFUNDO | Sanar el cuerpo, mente y espíritu 💖 @easyzen_",Easy Zen,UC2Z5BQhJWVgLX71_frN4oTA,1420000,263918,3686,100,https://i.ytimg.com/vi/aVuPY-pBF7E/default.jpg
6oVVL3xumco,Meditación para Dormir - Elimina Ansiedad y Pensamientos Negativos (25 min),Anabel Otero,UCJQoiWCKVc5EivU9h0p80oA,1080000,523734,10445,328,https://i.ytimg.com/vi/6oVVL3xumco/default.jpg
tYwnSBkc_To,"Meditación para Reducir Estrés, Ansiedad y Pensamientos Negativos (10 min)",Anabel Otero,UCJQoiWCKVc5EivU9h0p80oA,1080000,276576,11036,635,https://i.ytimg.com/vi/tYwnSBkc_To/default.jpg
6QdEv6U75ro,Meditación de la Mañana - Afirmaciones Positivas para Empezar el Día (10 min),Anabel Otero,UCJQoiWCKVc5EivU9h0p80oA,1080000,354734,16979,677,https://i.ytimg.com/vi/6QdEv6U75ro/default.jpg
49jUWPGQnTM,Meditación guiada para Calmar la Mente y Reducir la Ansiedad 🧘🏽‍♀️🍃@GabrielaLitschi,Gabriela Litschi,UCJ80RT5ob5mSJT8KRwqGW4g,399000,127498,4172,294,https://i.ytimg.com/vi/49jUWPGQnTM/default.jpg
QzBU8Sl9Mpc,GANALE a la DEPRESIÓN (sin medicamentos): Meditación y Mindfulness,Dr. Carlos Jaramillo,UCykTiaMobl2EWW28zmjcznQ,4960000,131896,13480,468,https://i.ytimg.com/vi/QzBU8Sl9Mpc/default.jpg
8yjiXp-DmXc,Meditación para SOLTAR & SANAR 💛💛💛 Muy Relajante!!!!,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,145812,6734,363,https://i.ytimg.com/vi/8yjiXp-DmXc/default.jpg
rXuYCmpnSOY,Meditación para DORMIR Y DESCANSAR LA MENTE 🌷🌷🌷,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,601412,9472,149,https://i.ytimg.com/vi/rXuYCmpnSOY/default.jpg
7XsaSiK_cdw,DUERME  y REPROGRAMA TU MENTE en la FELICIDAD 🦋 Meditación,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,509109,6100,126,https://i.ytimg.com/vi/7XsaSiK_cdw/default.jpg
tuxeNwfTA14,Dormir con AMOR Y BELLEZA 🌺🌺🌺 Meditación de la Noche,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,119414,2589,59,https://i.ytimg.com/vi/tuxeNwfTA14/default.jpg
g6uQEGiW5aA,Dormir Sanando el Alma | Meditación y Relajación Profunda 💫,Zentopía,UCs3HIwhaR_ktBT2kJE0QY8A,152000,106798,2288,98,https://i.ytimg.com/vi/g6uQEGiW5aA/default.jpg
eXmGpxWNtdE,🧿Meditación COMUNÍCATE CON TU YO SUPERIOR | APRENDE A ESCUCHAR su VOZ en TI🌀,Omnity Meditación,UCnjsFhatLwYKvcpXJM2uP9g,612000,496633,13695,335,https://i.ytimg.com/vi/eXmGpxWNtdE/default.jpg
N319kHwR4B0,Yoga & Meditación con Afirmaciones Positivas para Empezar el Día ☀️ (30 min),Anabel Otero,UCJQoiWCKVc5EivU9h0p80oA,1080000,47228,3585,247,https://i.ytimg.com/vi/N319kHwR4B0/default.jpg
RRTEp8UAj6A,Conecta con Tu Guía Interior o Yo Superior | Meditación para Dormir 🌙,Zentopía,UCs3HIwhaR_ktBT2kJE0QY8A,152000,351518,8447,150,https://i.ytimg.com/vi/RRTEp8UAj6A/default.jpg
rlNQ04EXJMI,Meditación profunda para el alma ✨ Encuentra tu paz interior🧘 | Ismael Cala,Ismael Cala,UCH3aBRsek6TLndDYVwKltBg,324000,25205,1032,64,https://i.ytimg.com/vi/rlNQ04EXJMI/default.jpg
CY5L5duz0kA,Meditación para Reducir el Estrés y la ansiedad 🌾 Vuelve a la calma @GabrielaLitschi,Gabriela Litschi,UCJ80RT5ob5mSJT8KRwqGW4g,399000,198523,5054,406,https://i.ytimg.com/vi/CY5L5duz0kA/default.jpg
bB4jxibg0yI,Iniciación a la Meditación | Lama Rinchen Gyaltsen - Sesión 2: Equilibrio con la respiración,Paramita,UC9uMYCMlq9sEFLHO6r0awXA,547000,149494,4559,178,https://i.ytimg.com/vi/bB4jxibg0yI/default.jpg
qAgLQ7jgBUo,LIBERTAD INTERIOR !! ✨ PODEROSA meditación GUIADA | CAMBIARÁ TU VIDA.,Luis Perla,UCwHrFqaWqPRYL7fR-GOQnHg,232000,14880,1165,131,https://i.ytimg.com/vi/qAgLQ7jgBUo/default.jpg
yFyVDnfLN14,Descubre la CLAVE del SUEÑO Sin Ansiedad 🏛️ Mix Meditación Estoica,Yolanda Calvo,UCKY2_XM2T35Dtz7sMuiH8iA,728000,65480,1965,91,https://i.ytimg.com/vi/yFyVDnfLN14/default.jpg
ULQ8sB52E6s,RECIBE lo que NECESITAS SABER en TUS SUEÑOS - Meditación PARA DORMIR profundamente,Luis Perla,UCwHrFqaWqPRYL7fR-GOQnHg,232000,32339,1340,41,https://i.ytimg.com/vi/ULQ8sB52E6s/default.jpg
P2URk-KN9Uw,💫Meditación ORACIÓN al UNIVERSO | MANIFESTAR DESEOS🧿,Omnity Meditación,UCnjsFhatLwYKvcpXJM2uP9g,612000,78327,2983,195,https://i.ytimg.com/vi/P2URk-KN9Uw/default.jpg
poXyRXuiBCs,Meditación Guiada Soltar la Rabia y Calmar la Ira 🌿  @GabrielaLitschi,Gabriela Litschi,UCJ80RT5ob5mSJT8KRwqGW4g,399000,46440,1448,123,https://i.ytimg.com/vi/poXyRXuiBCs/default.jpg
KzEsSgMlDCY,Meditación Dormir con CALMA MENTAL TOTAL 🌸🌸🌸,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,115070,2490,103,https://i.ytimg.com/vi/KzEsSgMlDCY/default.jpg
CPzquBL6Dag,Meditación Guiada con Khenpo Rinchen - Meditación en Amor bondadoso,Paramita,UC9uMYCMlq9sEFLHO6r0awXA,547000,70115,3053,149,https://i.ytimg.com/vi/CPzquBL6Dag/default.jpg
E8sb9uO8Ffw,5 MINUTOS MEDITACIÓN GUIADA para la MAÑANA Empezar el día POSITIVO ☀️,Luis Perla,UCwHrFqaWqPRYL7fR-GOQnHg,232000,15404,1073,110,https://i.ytimg.com/vi/E8sb9uO8Ffw/default.jpg
2PrjfMIQrPE,Meditación guiada FLUYE con la VIDA ✨ - 10 minutos MINDFULNESS,Encontrando el balance en mi vida,UCdJ0hddIDnsGYUwm3M6Bhig,179000,80595,4942,247,https://i.ytimg.com/vi/2PrjfMIQrPE/default.jpg
N-tGbCTVUOk,Meditación guiada TU VERSIÓN MÁS ELEVADA✨ - 11 minutos MINDFULNESS,Encontrando el balance en mi vida,UCdJ0hddIDnsGYUwm3M6Bhig,179000,79412,2985,184,https://i.ytimg.com/vi/N-tGbCTVUOk/default.jpg
EpXePB27nPY,DORMIR es más FÁCIL de lo que parece con esta Meditación,Yolanda Calvo,UCKY2_XM2T35Dtz7sMuiH8iA,728000,267005,4193,111,https://i.ytimg.com/vi/EpXePB27nPY/default.jpg
hPwxl64-_Gs,Un Curso de Milagros - Meditación para entregar y pedir guía,Un Curso de Milagros x Martín Merayo,UCDQBY5ywV87MPk4Gcmo_5FQ,121000,98018,4032,411,https://i.ytimg.com/vi/hPwxl64-_Gs/default.jpg
5RLse3YuO08,ES MILAGROSO | PODEROSA meditación para ATRAER | Pide y se te DARÁ,Luis Perla,UCwHrFqaWqPRYL7fR-GOQnHg,232000,28292,2644,426,https://i.ytimg.com/vi/5RLse3YuO08/default.jpg
kXAKDAlqNOo,💫Meditación RECLAMO de ENERGÍA PERDIDA | La PODEROSA técnica ESPIRITUAL🙏,Omnity Meditación,UCnjsFhatLwYKvcpXJM2uP9g,612000,187462,6570,342,https://i.ytimg.com/vi/kXAKDAlqNOo/default.jpg
DWKkf6uHI2I,Desbloquea tu POTENCIAL para SANAR y DORMIR Profundamente,Yolanda Calvo,UCKY2_XM2T35Dtz7sMuiH8iA,728000,159027,3973,169,https://i.ytimg.com/vi/DWKkf6uHI2I/default.jpg
Rc0gkmHsqSE,Meditación Nocturna: Dormir en Paz - Un Curso de Milagros,Un Curso de Milagros x Martín Merayo,UCDQBY5ywV87MPk4Gcmo_5FQ,121000,76062,2019,142,https://i.ytimg.com/vi/Rc0gkmHsqSE/default.jpg
ta9vJ0wpFWM,🟡 Meditación Guiada Paso a Paso con el Venerable Lama Rinchen Gyaltsen,LAMA RINCHEN GYALTSEN,UCI8v8vjz89L_enknqkANyyA,59600,53648,2547,249,https://i.ytimg.com/vi/ta9vJ0wpFWM/default.jpg
kTIdUILgBsM,Meditación | Pasa de la LOCURA al ORDEN | Tania Karam,TANIA KARAM,UCUEQqOYJSKDV9ho29wqorQw,350000,29333,1615,82,https://i.ytimg.com/vi/kTIdUILgBsM/default.jpg
1oq8K2FQbw8,Meditación Guiada 🌷🌷🌷 DORMIR PROFUNDO TODA LA NOCHE,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,121017,2502,67,https://i.ytimg.com/vi/1oq8K2FQbw8/default.jpg
_qSRnzUHM2M,¡PODEROSA MEDITACIÓN! AGRADECE ASÍ Y SE TE DARÁ!,Paola Herrera,UCOHzeyMJNJEW4gOH1ce8TLQ,3600000,113614,3717,134,https://i.ytimg.com/vi/_qSRnzUHM2M/default.jpg
jmzo9tO0_9E,Técnica mágica para controlar tus emociones - Meditación guiada para el control emocional - 10 min.,Pablo Gómez Psiquiatra,UCdwxjEwpKg26GJv299bxzow,858000,39866,2888,455,https://i.ytimg.com/vi/jmzo9tO0_9E/default.jpg
Olb0SycSTd8,🎧3 Horas ININTERRUMPIDAS de MEDITACIONES para ELEVAR la CONCIENCIA ESPIRITUAL 💫,Omnity Meditación,UCnjsFhatLwYKvcpXJM2uP9g,612000,75969,1985,66,https://i.ytimg.com/vi/Olb0SycSTd8/default.jpg
j6Akuzyv6I8,¡Ni te darás cuenta de cuándo te has DORMIDO! 🌧️ (Mix con Lluvia),Yolanda Calvo,UCKY2_XM2T35Dtz7sMuiH8iA,728000,98759,2162,64,https://i.ytimg.com/vi/j6Akuzyv6I8/default.jpg
ZtL-DlCeL7Y,"CONECTA con tus GUÍAS ESPIRITUALES. Meditación para PEDIR AYUDA a ÁNGELES, ARCÁNGELES SERES DE LUZ",Mente Consciente,UC6sE90u1-0IreP87HZxj7rA,362000,467494,13464,1042,https://i.ytimg.com/vi/ZtL-DlCeL7Y/default.jpg
-y4NbgS1AxU,Meditación Mindfulness Rutina Matinal 10 MInutos.. Hazla Todos los Días!!,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,100525,5506,249,https://i.ytimg.com/vi/-y4NbgS1AxU/default.jpg
Sr_qR6vwl2Q,Meditación guiada Gratitud Amor y Paz 🙏 Cultivar la Gratitud @GabrielaLitschi,Gabriela Litschi,UCJ80RT5ob5mSJT8KRwqGW4g,399000,32969,1640,150,https://i.ytimg.com/vi/Sr_qR6vwl2Q/default.jpg
6dkngmrYNto,Qué es la MEDITACIÓN y por qué nos cuesta tanto meditar | Conversaciones con Mario Alonso Puig,Mario Alonso Puig - Oficial,UCI0pkMo-pDjVurZWJQu3bLg,749000,1322876,84213,1366,https://i.ytimg.com/vi/6dkngmrYNto/default.jpg
FdOB06fuyLE,Meditación GUIADA para soltar el ESTRÉS y la ANSIEDAD,Jordi Wu,UC4VXblTy_IYCpBKUqpjB-Ug,1820000,246966,8730,470,https://i.ytimg.com/vi/FdOB06fuyLE/default.jpg
_Fk3EVr_m7I,Meditación por la Mañana ☀️ Empezar bien el día @GabrielaLitschi,Gabriela Litschi,UCJ80RT5ob5mSJT8KRwqGW4g,399000,222109,10655,675,https://i.ytimg.com/vi/_Fk3EVr_m7I/default.jpg
3_XB0n8ykeg,🎧Crea LA MEJOR VERSIÓN DE TI: Meditación Guiada 🧘🏻‍♀️Mindful Science 💙🪬,Mindful Science,UCvZKEunQgNxg6iJh62YGcdQ,1420000,64152,3614,304,https://i.ytimg.com/vi/3_XB0n8ykeg/default.jpg
ObSw_nQwh_A,"Práctica de la meditación con Pablo d’Ors, fundador de amigos del desierto #meditacion #mindfulness",wake up Gente Consciente,UCmou61o2Ns5URFoXy2tJgbQ,201000,29686,1808,18,https://i.ytimg.com/vi/ObSw_nQwh_A/default.jpg
wq52u41Lmjw,Meditación Guiada para SOLTAR y DEJAR IR: Ansiedad y Estrés,Jordi Wu,UC4VXblTy_IYCpBKUqpjB-Ug,1820000,104163,4349,294,https://i.ytimg.com/vi/wq52u41Lmjw/default.jpg
Oo5F7I2jAO4,Meditación vuelta a casa | Psi Mammoliti,PsiMammoliti,UCco8rujqTKTOn-zBSuZAbFw,318000,1672,170,4,https://i.ytimg.com/vi/Oo5F7I2jAO4/default.jpg
6oVVL3xumco,Meditación para Dormir - Elimina Ansiedad y Pensamientos Negativos (25 min),Anabel Otero,UCJQoiWCKVc5EivU9h0p80oA,1080000,523734,10445,328,https://i.ytimg.com/vi/6oVVL3xumco/default.jpg
tYwnSBkc_To,"Meditación para Reducir Estrés, Ansiedad y Pensamientos Negativos (10 min)",Anabel Otero,UCJQoiWCKVc5EivU9h0p80oA,1080000,276576,11036,635,https://i.ytimg.com/vi/tYwnSBkc_To/default.jpg
