Video ID,Title,Channel,Channel ID,Subscribers,Views,Likes,Comments,Thumbnail
NnKtKpa12Ww,Meditación guiada de sanación / Pablo Gómez psiquiatra.,Pablo Gómez Psiquiatra,UCdwxjEwpKg26GJv299bxzow,855000,1434128,32281,1335,https://i.ytimg.com/vi/NnKtKpa12Ww/default.jpg
KLivMNl0ynE,¿Quién soy yo? Meditación guiada para ir MÁS ALLÁ del EGO y conectar con tu verdadero SER // 15 min,Anabel Otero,UCJQoiWCKVc5EivU9h0p80oA,1060000,79123,4941,447,https://i.ytimg.com/vi/KLivMNl0ynE/default.jpg
5xOGYn0KvnU,"La neurociencia de la meditación. Nazareth Castellanos, neurocientífica",Aprendemos Juntos 2030,UCI6QcXatdaEAaRTRjl3dc0w,4540000,660382,15955,185,https://i.ytimg.com/vi/5xOGYn0KvnU/default.jpg
uUnn3DvIioc,Meditación para CALMAR la mente y REDUCIR el estrés (sin música) 15 minutos | Anabel Otero,Anabel Otero,UCJQoiWCKVc5EivU9h0p80oA,1060000,250509,12819,905,https://i.ytimg.com/vi/uUnn3DvIioc/default.jpg
ddYms3p1ysw,MEDITACIÓN PARA ANSIEDAD - REDUCIR ESTRÉS - CALMAR ANSIEDAD EN 10 MINUTOS | MALOVAELENA,MalovaElena,UCb-ODDTys9PeeSyreyh___w,3650000,229293,8624,362,https://i.ytimg.com/vi/ddYms3p1ysw/default.jpg
9-IOMXpv7Ys,🧘‍♂🧘‍♀ Meditación guiada MINDFULNESS de 10 minutos [⭐2022⭐] - Reduce tu Estrés y Ansiedad,Psicología en Serio con Guillermo Orozco,UCV3AJtO6IMQd1cPtOha2BGA,278000,1591308,28225,612,https://i.ytimg.com/vi/9-IOMXpv7Ys/default.jpg
bfnXDAFosHA,Yoga Nidra para Dormir & Insomnio - 1h 30min. Meditación guiada para conciliar el sueño por la noche,Anabel Otero,UCJQoiWCKVc5EivU9h0p80oA,1060000,2898981,43440,782,https://i.ytimg.com/vi/bfnXDAFosHA/default.jpg
RgOR1J3M5oE,Meditación para dormir y PEDIR A TUS ÁNGELES Y GUÍAS,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,928116,17396,318,https://i.ytimg.com/vi/RgOR1J3M5oE/default.jpg
R3bxcfAMdXw,🎧GRATITUD por las pequeñas cosas~Mindfulness en español-Meditación Guiada,Mindful Science,UCvZKEunQgNxg6iJh62YGcdQ,1420000,104485,5471,412,https://i.ytimg.com/vi/R3bxcfAMdXw/default.jpg
U6ElWFUAiJU,Yoga Nidra para el insomnio (sesión completa 1 hora) Meditación guiada para dormir | Anabel Otero,Anabel Otero,UCJQoiWCKVc5EivU9h0p80oA,1060000,1116184,16735,376,https://i.ytimg.com/vi/U6ElWFUAiJU/default.jpg
HmPIHJq3caU,Meditación Guiada (Voz Profunda) para Mejorar tu Estabilidad Mental y Emocional,La Ducha Fría,UC_yk3LpbHmUXeeWnyIfVlOA,703000,136010,5314,205,https://i.ytimg.com/vi/HmPIHJq3caU/default.jpg
m3vUpMThKLo,🌙 Rutina de Noche: DUERME PROFUNDAMENTE -Meditación Guiada-  Mindfulness en español 😴,Mindful Science,UCvZKEunQgNxg6iJh62YGcdQ,1420000,566351,11247,207,https://i.ytimg.com/vi/m3vUpMThKLo/default.jpg
