Video ID,Title,Channel,Channel ID,Subscribers,Views,Likes,Comments,Thumbnail
YsXIay7eTcY,DUERME PROFUNDAMENTE y Despierta con Energía 😴 | Meditaciones para Dormir 💤,Medita por el mundo,UCkImJVONIpthOWxmxhF_gyA,424000,1003167,9143,233,https://i.ytimg.com/vi/YsXIay7eTcY/default.jpg
ZsVzSSwavr0,Meditación para conectar con la ABUNDANCIA | 18 minutos meditación Gabriela Litschi,Gabriela Litschi,UCJ80RT5ob5mSJT8KRwqGW4g,399000,732592,12669,348,https://i.ytimg.com/vi/ZsVzSSwavr0/default.jpg
TjNBEVTje_E,Meditación guiada para dormir profundamente | Vibración somnífera con cuencos tibetanos,Jorge Benito,UCu1C0mYQjWPFNmmMXJ40X7A,1020000,1697420,17355,287,https://i.ytimg.com/vi/TjNBEVTje_E/default.jpg
PZkCYMo3YQU,¿Qué efectos tiene la meditación? | Sana Mente,CNN Chile,UCpOAcjJNAp0Y0fhznRrXIJQ,962000,20574,468,10,https://i.ytimg.com/vi/PZkCYMo3YQU/default.jpg
vFrHhwCOaW0,Meditación guiada para DORMIR PROFUNDAMENTE 13 minutos | Gabriela Litschi,Gabriela Litschi,UCJ80RT5ob5mSJT8KRwqGW4g,399000,3073952,24588,318,https://i.ytimg.com/vi/vFrHhwCOaW0/default.jpg
2aLMca9jP1A,🎧Más allá del Cuerpo- RELAJA TU MENTE- EXPLORA TU SER - Meditación Guiada-Mindfulness #inspiraAotros,Mindful Science,UCvZKEunQgNxg6iJh62YGcdQ,1420000,214287,6647,310,https://i.ytimg.com/vi/2aLMca9jP1A/default.jpg
u11oRyjJzWs,ACTITUD POSITIVA~MEDITACIÓN PARA COMENZAR EL DÍA: 10 minutos ~ Mindfulness,Mindful Science,UCvZKEunQgNxg6iJh62YGcdQ,1420000,522023,16177,523,https://i.ytimg.com/vi/u11oRyjJzWs/default.jpg
0l4UFX21kH4,Meditación del sueño durante 5 minutos - La meditación del sueño cura eficazmente el insomnio😴,Soothing Piano,UCZOIxWxZcVWhav7sWb1nTTQ,144000,5425168,45480,1068,https://i.ytimg.com/vi/0l4UFX21kH4/default.jpg
8ioQuiRBnZY,MEDITACIÓN SANAR el CUERPO con la MENTE | 19 minutos Gabriela Litschi,Gabriela Litschi,UCJ80RT5ob5mSJT8KRwqGW4g,399000,1390890,20407,696,https://i.ytimg.com/vi/8ioQuiRBnZY/default.jpg
v-pq2RQ7o1s,10 min de Yoga Nidra - Meditación guiada para RELAJAR cuerpo y mente (en español) Práctica de *NSDR*,Anabel Otero,UCJQoiWCKVc5EivU9h0p80oA,1080000,302757,7763,450,https://i.ytimg.com/vi/v-pq2RQ7o1s/default.jpg
