Video ID,Title,Channel,Channel ID,Subscribers,Views,Likes,Comments,Thumbnail
HHwrC3vy7jg,MEDITACIÓN para la Autoestima *15 Minutos*,CuriosaMente,UCX16cLWl6dCjlZMgUBxgGkA,3930000,542134,25527,481,https://i.ytimg.com/vi/HHwrC3vy7jg/default.jpg
REj1JHDpqxI,Meditación para dormir + 1 hora de música,CuriosaMente,UCX16cLWl6dCjlZMgUBxgGkA,3930000,2324978,27651,504,https://i.ytimg.com/vi/REj1JHDpqxI/default.jpg
HTzYPC_ZB8U,PODEROSA Meditación para Dormir INVOCANDO RESPUESTAS,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,1405961,22231,254,https://i.ytimg.com/vi/HTzYPC_ZB8U/default.jpg
POj_coOBUBs,Meditación guiada. 12 min. Aquí y Ahora. GRATITUD,Patry Montero Yoga,UCkx1OhwCg2orVp0aY3L-sOQ,209000,960287,25493,894,https://i.ytimg.com/vi/POj_coOBUBs/default.jpg
GZBPb78HHZc,"El Materialismo, meditación realizada por Hna. María Luisa Piraquive - IDMJI",María Luisa Piraquive,UCo1s1oPdvveXEthBFfIpRzA,375000,340602,0,0,https://i.ytimg.com/vi/GZBPb78HHZc/default.jpg
yhwUevA_4kw,Meditación guiada para DORMIR | Logra un sueño profundo y reconfortante en pocos minutos,Jorge Benito,UCu1C0mYQjWPFNmmMXJ40X7A,1010000,1051172,11386,248,https://i.ytimg.com/vi/yhwUevA_4kw/default.jpg
eWjjozbHeE8,MINDFULNESS PARA NIÑOS | La mejor meditación guiada para dormir a los niños rápido,guiainfantil,UCRJQw-oofyAgFv3JlnIAxZQ,2030000,466255,3440,0,https://i.ytimg.com/vi/eWjjozbHeE8/default.jpg
eZSXSsea89c,MEDITACIÓN GUIADA para calmar la mente y eliminar el estrés (15 minutos) | Jorge Benito,Jorge Benito,UCu1C0mYQjWPFNmmMXJ40X7A,1010000,1087442,23833,614,https://i.ytimg.com/vi/eZSXSsea89c/default.jpg
MOdICKYIcpk,🎧FORTALECE TU ATENCIÓN: MEDITACIÓN GUIADA en español- MINDFULNESS- Mindful Science,Mindful Science,UCvZKEunQgNxg6iJh62YGcdQ,1420000,175585,7873,326,https://i.ytimg.com/vi/MOdICKYIcpk/default.jpg
URrpShvTw3U,Meditación Guiada Mindfulness 15 Minutos RESPIRACIÓN-RELAJACIÓN,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,430123,13317,345,https://i.ytimg.com/vi/URrpShvTw3U/default.jpg
q-8T25OtTBQ,570. ¿Qué es la meditación?,En ti confío,UCxLQxG-wSwgTxnHyOA0U7eg,218000,18849,1065,31,https://i.ytimg.com/vi/q-8T25OtTBQ/default.jpg
