Video ID,Title,Channel,Channel ID,Subscribers,Views,Likes,Comments,Thumbnail
3oCC4NDgYrY,Meditación para principiantes (12 minutos),CuriosaMente,UCX16cLWl6dCjlZMgUBxgGkA,3930000,3207035,94334,1779,https://i.ytimg.com/vi/3oCC4NDgYrY/default.jpg
-OQWTMrPTPE,Meditación guiada para controlar tu ANSIEDAD rápidamente | Jorge Benito,Jorge Benito,UCu1C0mYQjWPFNmmMXJ40X7A,1010000,3274763,57298,1641,https://i.ytimg.com/vi/-OQWTMrPTPE/default.jpg
ykIpn9qjvEg,MINDFULNESS: cómo empezar a meditar desde cero (paso a paso para principiantes) | Jorge Benito,Jorge Benito,UCu1C0mYQjWPFNmmMXJ40X7A,1010000,2097066,160051,1741,https://i.ytimg.com/vi/ykIpn9qjvEg/default.jpg
iI9xrIXFgNY,Meditación Guiada para DORMIR y SANAR,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,1739470,21683,477,https://i.ytimg.com/vi/iI9xrIXFgNY/default.jpg
Q94RfVNboDI,Meditación Guiada Mindfulness Clase Completa: Paz Interior Atención Plena,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,1943673,35646,1120,https://i.ytimg.com/vi/Q94RfVNboDI/default.jpg
yjtTsld_HsE,"Meditación: Dios nos cuida y es nuestra fortaleza, 23 de Noviembre 2020, Hno. Andrés Carrillo",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,548436,0,0,https://i.ytimg.com/vi/yjtTsld_HsE/default.jpg
m64gbcKaHYU,"Meditación: Los distractores, 20 de octubre de 2020, Hna. María Luisa Piraquive, IDMJI.",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,469614,0,0,https://i.ytimg.com/vi/m64gbcKaHYU/default.jpg
2c-QVrfxlkg,"Meditación: Las promesas del Señor son fieles y verdaderas, 9 noviembre  2020, Hno. Álvaro Herrera",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,400776,0,0,https://i.ytimg.com/vi/2c-QVrfxlkg/default.jpg
wgi4KMELTrQ,"Meditación: Dios guarda y protege a sus hijos, 21 de diciembre 2020, Hno. Álvaro Herrera, IDMJI",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,551631,0,0,https://i.ytimg.com/vi/wgi4KMELTrQ/default.jpg
0wdNG_EFvqk,"Meditación: Hebreos 5 vr. 11 al 6 vr. 8, 06 octubre 2020, Hna. María Luisa Piraquive, IDMJI",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,533446,0,0,https://i.ytimg.com/vi/0wdNG_EFvqk/default.jpg
OYCtJOqvp-k,"Meditación: Preguntas y respuestas. Efesios 5 vr. 1 al 08, Hna. María Luisa Piraquive, 01 dic 2020.",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,346902,0,0,https://i.ytimg.com/vi/OYCtJOqvp-k/default.jpg
ewzRehlJarE,MEDITACIÓN GUIADA: GRATITUD POR TI | MINDFULNESS | MINDFUL SCIENCE,Mindful Science,UCvZKEunQgNxg6iJh62YGcdQ,1420000,285741,15289,902,https://i.ytimg.com/vi/ewzRehlJarE/default.jpg
